pais,anio,finalizacion_primaria,gasto_educacion_pib,matricula_primaria,matricula_secundaria
Paraguay,2018,,3.2961960606943,,
Paraguay,2019,,3.48983027194334,,
Paraguay,2020,84.7860722939556,3.93615007400513,90.8342908567893,85.6669309236136
Paraguay,2021,,3.41070008277893,92.5220031738281,84.787987118923
Paraguay,2022,87.148745461088,3.39619994163513,91.0286415669387,82.3071472143291
Paraguay,2023,90.271367469734,3.393709897995,90.3532686843589,79.7518585422984
United States,2018,100.092697143555,4.89502000808716,101.256561279297,99.2755813598633
United States,2019,100.489051818848,4.95746994018555,100.981300354004,100.063430786133
United States,2020,100.923667907715,5.39530992507935,100.305793762207,100.509819030762
United States,2021,101.091278076172,5.42038011550903,98.3054885864258,101.192489624023
United States,2022,95.743522644043,,96.9717330932617,97.4734878540039
