nombre_departamento,total_hombres,total_mujeres,total_matriculados
Central,218769,212291,431060
Alto Paraná,101608,104360,205968
Capital,65427,65795,131222
Caaguazú,60246,59297,119543
Itapúa,55932,55064,110996
San Pedro,51656,50212,101868
Cordillera,32575,31227,63802
Concepción,30432,30370,60802
Canindeyú,26869,26960,53829
Paraguarí,25548,24685,50233
Guairá,22475,22095,44570
Caazapá,19776,19284,39060
Amambay,18973,19357,38330
Presidente Hayes,14833,14651,29484
Misiones,14133,14167,28300
Boquerón,8972,8944,17916
Ñeembucú,8058,8458,16516
Alto Paraguay,2578,2476,5054
